# Timestep	Num_Clusters	Max_Cluster_Size
1769	9	3423
1770	9	3423
1771	17	3416
1772	15	3417
1773	11	3421
1774	12	3420
1775	9	3424
1776	10	3423
1777	11	3422
1778	12	3421
1779	11	3422
1780	11	3415
1781	11	3417
1782	11	3422
1783	11	3422
1784	10	3423
1785	6	3427
1786	13	3420
1787	12	3416
1788	9	3424
1789	15	3412
1790	10	3423
1791	10	3423
1792	17	3415
1793	7	3426
1794	14	3419
1795	13	3420
1796	10	3423
1797	15	3418
1798	16	3417
1799	8	3425
1800	15	3417
1801	11	3417
1802	13	3420
1803	14	3418
1804	12	3419
1805	11	3422
1806	13	3420
1807	12	3421
1808	16	3417
1809	11	3421
1810	15	3418
1811	8	3425
1812	9	3424
1813	14	3413
1814	6	3425
1815	8	3424
1816	16	3416
1817	20	3413
1818	18	3415
1819	15	3412
1820	17	3411
1821	10	3422
1822	12	3421
1823	10	3423
1824	8	3425
1825	14	3418
1826	11	3422
1827	19	3414
1828	15	3417
1829	10	3423
1830	5	3428
1831	11	3421
1832	7	3426
1833	7	3421
1834	11	3422
1835	10	3423
1836	12	3421
1837	6	3427
1838	12	3421
1839	11	3415
1840	5	3428
1841	15	3417
1842	10	3423
1843	11	3421
1844	15	3418
1845	15	3417
1846	10	3422
1847	8	3425
1848	9	3424
